id,address,price_aed,bedrooms,bathrooms,square_feet,property_type,area,developer,completion_date,view,amenities,service_charges,agent,agency,status,listing_date,last_updated
165,"Building 283, Floor 16, Unit 642, The Meadows, Dubai, UAE",3171361,6,6,6773,Triplex,The Meadows,Savills,2022-12-09,Garden View,"Garden, 24/7 Maintenance, Central AC, Tennis Court, Study Room, Modern Kitchen, Pet Friendly, Spa",13586,Hannah Smith,Mccoy-Powell,Rented,2025-01-12,2025-08-24 16:23:04
166,"Building 584, Floor 5, Unit 576, Jumeirah, Dubai, UAE",733230,4,5,4592,Serviced Apartment,Jumeirah,Nakheel,2020-09-06,Pool View,"Modern Kitchen, Terrace, Driver's Room",43048,Mario Kim,Woods-Stewart,Available,2025-01-04,2025-08-24 16:23:04
167,"Building 834, Floor 36, Unit 634, Al Faqa, Dubai, UAE",1738372,3,3,5352,Loft,Al Faqa,Omniyat,2022-02-18,Garden View,"Tennis Court, Driver's Room, Furnished, Swimming Pool, Gym, Garden",20943,السيدة روبين آل رفيع,المشاولة-آل عواض,Available,2024-12-31,2025-08-24 16:23:04
168,"Building 172, Floor 23, Unit 786, Business Bay, Dubai, UAE",2266347,0,1,362,Studio,Business Bay,Ellington Properties,2026-08-24,Sea View,"Built-in Wardrobes, Central AC, Security, Modern Kitchen, Children's Playground, Basketball Court, Tennis Court",39000,صادح بن لادن,كانو-العقيل,Rented,2024-11-15,2025-08-24 16:23:04
169,"Building 321, Floor 4, Unit 465, Dubai Marina, Dubai, UAE",2243049,0,1,598,Studio,Dubai Marina,Omniyat,2022-03-18,Mountain View,"Furnished, Security, Tennis Court, Spa",5684,افتكار آل قصير,آل سعود-كانو,Rented,2024-11-28,2025-08-24 16:23:04
170,"Building 773, Floor 1, Unit 1, Palm Jumeirah, Dubai, UAE",2575345,5,6,5853,Villa,Palm Jumeirah,Ellington Properties,2024-09-11,Street View,"Garden, Balcony, Parking, Security",8019,Timothy Sims,Mora and Sons,Available,2024-11-25,2025-08-24 16:23:04
171,"Building 843, Floor 1, Unit 1, Dubai Knowledge Park, Dubai, UAE",12962187,4,4,4270,Villa,Dubai Knowledge Park,Select Group,2026-05-06,Street View,"Swimming Pool, Security, Balcony, Spa, Parking",40560,الأستاذ مجد بن لادن,Lloyd-Kelly,Available,2025-06-16,2025-08-24 16:23:04
172,"Building 575, Floor 50, Unit 398, Jumeirah Islands, Dubai, UAE",1232647,0,1,433,Studio,Jumeirah Islands,Cluttons,2023-11-11,Mountain View,"Maid's Room, Concierge, Parking, Terrace, Furnished, Tennis Court",16735,Derek Aguilar,Little Ltd,Sold,2025-03-15,2025-08-24 16:23:04
173,"Building 164, Floor 43, Unit 99, Dubai Internet City, Dubai, UAE",7344377,7,5,2576,Duplex,Dubai Internet City,Select Group,2025-04-06,Sea View,"Walk-in Closet, Children's Playground, Central AC, Basketball Court, 24/7 Maintenance, Swimming Pool, Study Room, Pet Friendly",10722,ايمان آل علي,آل قصير-حنبولي,Available,2024-11-19,2025-08-24 16:23:04
174,"Building 435, Floor 40, Unit 358, Al Faqa, Dubai, UAE",1676726,0,1,463,Studio,Al Faqa,Bloom Properties,2023-07-28,Pool View,"Driver's Room, Walk-in Closet, Parking, Balcony, Tennis Court, Garden, Security, Swimming Pool",42248,فؤاد العليان,Byrd-Rojas,Sold,2024-08-23,2025-08-24 16:23:04
175,"Building 128, Floor 33, Unit 656, Dubai Knowledge Park, Dubai, UAE",2513148,0,1,397,Studio,Dubai Knowledge Park,Aqua Properties,2026-12-26,Sea View,"Built-in Wardrobes, Central AC, Children's Playground",14475,Kyle Johnson,"بقشان, آل عايض and آل سلطان",Rented,2024-11-27,2025-08-24 16:23:04
176,"Building 279, Floor 38, Unit 720, Business Bay, Dubai, UAE",2672095,6,5,5598,Garden Apartment,Business Bay,Deyaar Development,2022-06-24,Sea View,"Children's Playground, Swimming Pool, Maid's Room, Tennis Court, Walk-in Closet, Parking, Gym",14714,Katie Rogers,Shaw-Lane,Sold,2025-03-02,2025-08-24 16:23:04
177,"Building 124, Floor 15, Unit 47, Mirdif, Dubai, UAE",5827161,3,4,2402,Duplex,Mirdif,Select Group,2022-03-26,City View,"24/7 Maintenance, Gym, Parking, Study Room, Spa",10688,الدكتور جليل المشاولة,Holt Inc,Sold,2025-08-19,2025-08-24 16:23:04
178,"Building 775, Floor 49, Unit 167, Al Mankhool, Dubai, UAE",2667810,0,1,378,Studio,Al Mankhool,Meraas,2022-01-01,Street View,"Children's Playground, Spa, Gym, Balcony, Parking, Maid's Room, Basketball Court, Central AC",37167,الدكتور خلوصي آل عطفة,"المشاولة, آل رفيع and المشاولة",Available,2025-06-05,2025-08-24 16:23:04
179,"Building 789, Floor 44, Unit 929, Al Qusais, Dubai, UAE",2352883,5,5,4989,Loft,Al Qusais,Azizi Developments,2025-10-20,Sea View,"Concierge, Parking, Garden, Built-in Wardrobes",24019,Glenn Harris,مهنا-آل جعفر,Available,2025-02-24,2025-08-24 16:23:04
180,"Building 324, Floor 9, Unit 235, Dubai Production City, Dubai, UAE",2094354,7,6,3324,Garden Apartment,Dubai Production City,Union Properties,2023-10-01,Mountain View,"Gym, Terrace, BBQ Area, Garden",22974,بدرالدّجى أبا الخيل,Garcia-Anderson,Sold,2025-04-01,2025-08-24 16:23:04
181,"Building 584, Floor 31, Unit 960, Dubai Healthcare City, Dubai, UAE",1291548,7,3,5246,Serviced Apartment,Dubai Healthcare City,Emaar Properties,2021-01-28,Sea View,"Study Room, Concierge, Built-in Wardrobes",24916,Rachel Brown,حنبولي-آل جعفر,Sold,2025-05-08,2025-08-24 16:23:04
182,"Building 813, Floor 1, Unit 890, Al Satwa, Dubai, UAE",2526789,3,2,1168,Apartment,Al Satwa,Better Homes,2023-10-01,Mountain View,"Spa, Security, Pet Friendly, Central AC, Modern Kitchen",36993,بدرالدّجى المهنا,Graves-Bryant,Available,2025-05-30,2025-08-24 16:23:04
183,"Building 522, Floor 36, Unit 165, Al Hudaiba, Dubai, UAE",6794030,3,6,3148,Townhouse,Al Hudaiba,Better Homes,2022-05-28,City View,"Maid's Room, Study Room, Modern Kitchen, Tennis Court, 24/7 Maintenance",45820,المهندسة سجا بقشان,Pollard-Smith,Available,2025-05-05,2025-08-24 16:23:04
184,"Building 109, Floor 23, Unit 785, Umm Suqeim, Dubai, UAE",1024019,3,3,1861,Apartment,Umm Suqeim,Meraas,2022-12-29,Mountain View,"Gym, Modern Kitchen, Driver's Room, Central AC",35482,Steve Wood,Kim Ltd,Sold,2025-06-17,2025-08-24 16:23:04
185,"Building 851, Floor 28, Unit 139, Al Warqa, Dubai, UAE",2485154,6,3,4544,Loft,Al Warqa,Deyaar Development,2027-02-10,Sea View,"Balcony, Furnished, Security, Children's Playground, Parking",26566,جهراء آل علي,آل عايض-آل عطفة,Rented,2024-12-20,2025-08-24 16:23:04
186,"Building 843, Floor 17, Unit 128, Al Barsha, Dubai, UAE",14508009,5,4,5749,Penthouse,Al Barsha,Select Group,2022-01-13,Street View,"24/7 Maintenance, Modern Kitchen, Balcony, Terrace, Built-in Wardrobes, Children's Playground",19764,الأستاذ حيّان الحجار,Beck-Adams,Under Contract,2024-09-06,2025-08-24 16:23:04
187,"Building 423, Floor 1, Unit 1, Jumeirah, Dubai, UAE",8884160,5,6,5767,Villa,Jumeirah,Al Habtoor Group,2023-03-08,Garden View,"Gym, Basketball Court, Swimming Pool, Tennis Court, Walk-in Closet",6666,Edward Paul,آل مقطة-آل عطفة,Sold,2025-05-18,2025-08-24 16:23:04
188,"Building 301, Floor 11, Unit 289, Al Mankhool, Dubai, UAE",2390386,4,1,1486,Apartment,Al Mankhool,Deyaar Development,2027-06-23,Street View,"Gym, Balcony, 24/7 Maintenance, Tennis Court, Built-in Wardrobes, Concierge, Walk-in Closet, Pet Friendly",21121,السيد صهيب أبا الخيل,آل سعود Ltd,Rented,2025-07-12,2025-08-24 16:23:04
189,"Building 846, Floor 38, Unit 584, Al Khawaneej, Dubai, UAE",629960,0,1,418,Studio,Al Khawaneej,Better Homes,2021-02-22,Garden View,"Pet Friendly, Driver's Room, Swimming Pool, Built-in Wardrobes",42441,راغب الدباغ,آل محمد بن علي بن جماز LLC,Available,2024-09-13,2025-08-24 16:23:04
190,"Building 199, Floor 26, Unit 274, Dubai Media City, Dubai, UAE",12218882,3,3,2411,Penthouse,Dubai Media City,Damac Properties,2025-10-16,Sea View,"Pet Friendly, Central AC, Spa, Modern Kitchen, Security, Tennis Court",43092,Shawn Hamilton,Rivera LLC,Under Contract,2024-10-21,2025-08-24 16:23:04
191,"Building 124, Floor 41, Unit 856, Emirates Hills, Dubai, UAE",1763607,5,6,6655,Serviced Apartment,Emirates Hills,Omniyat,2024-09-18,Garden View,"Central AC, Furnished, Modern Kitchen, 24/7 Maintenance, Walk-in Closet",35868,Brandon Trujillo,أبو داوود-آل محمد بن علي بن جماز,Available,2024-09-12,2025-08-24 16:23:04
192,"Building 486, Floor 40, Unit 775, Al Ruwayyah, Dubai, UAE",5880093,3,6,4660,Townhouse,Al Ruwayyah,Damac Properties,2021-10-05,Sea View,"Modern Kitchen, Walk-in Closet, Parking, Security",30983,Marcia Chen,Conrad-Cox,Under Contract,2025-07-25,2025-08-24 16:23:04
193,"Building 412, Floor 34, Unit 497, Al Barsha, Dubai, UAE",5245781,3,6,6101,Townhouse,Al Barsha,Bloom Properties,2025-11-11,Pool View,"Study Room, Parking, Spa, BBQ Area, Children's Playground",28191,مُسعف الحجار,"Lane, Hanson and Rogers",Under Contract,2025-02-20,2025-08-24 16:23:04
194,"Building 907, Floor 4, Unit 297, Jumeirah Islands, Dubai, UAE",1450841,6,3,7862,Duplex,Jumeirah Islands,Meraas,2024-01-02,City View,"Swimming Pool, Driver's Room, Balcony, Pet Friendly, Modern Kitchen, Built-in Wardrobes, Central AC, Study Room",30604,المهندسة ديمه آل رفيع,الخرافي-المهيدب,Available,2024-10-05,2025-08-24 16:23:04
195,"Building 633, Floor 31, Unit 864, Business Bay, Dubai, UAE",723772,0,1,435,Studio,Business Bay,Omniyat,2021-10-09,Mountain View,"Terrace, Swimming Pool, Modern Kitchen",39228,الأستاذة هدى آل بن لافي,"Lopez, Bell and Davis",Sold,2025-07-31,2025-08-24 16:23:04
196,"Building 199, Floor 1, Unit 1, Al Hudaiba, Dubai, UAE",13730533,6,6,3955,Villa,Al Hudaiba,Meraas,2023-06-09,Street View,"Furnished, Central AC, Walk-in Closet, Balcony, Tennis Court",15104,المهندس صافي الجابر,"Stone, Moses and Rush",Sold,2025-04-23,2025-08-24 16:23:04
197,"Building 622, Floor 37, Unit 393, Al Warqa, Dubai, UAE",5510285,3,2,4707,Duplex,Al Warqa,Dubai Properties,2026-04-22,Street View,"Garden, Modern Kitchen, Tennis Court, Concierge, Security, Maid's Room, Study Room",11894,Kristin Snyder,"الخرافي, الخرافي and المهنا",Under Contract,2025-05-22,2025-08-24 16:23:04
198,"Building 78, Floor 29, Unit 205, Al Aweer, Dubai, UAE",1677369,6,3,5579,Loft,Al Aweer,Damac Properties,2023-03-19,Street View,"Swimming Pool, Furnished, Concierge, Study Room, Pet Friendly",8526,نعيم المهيدب,العليان-آل حسين,Rented,2025-02-02,2025-08-24 16:23:04
199,"Building 799, Floor 9, Unit 742, Al Faqa, Dubai, UAE",2223181,5,5,6714,Townhouse,Al Faqa,Deyaar Development,2025-10-02,Mountain View,"Central AC, Driver's Room, Children's Playground, Garden, Parking, Terrace, Spa",48333,Crystal Bishop,العجلان LLC,Available,2024-08-30,2025-08-24 16:23:04
200,"Building 996, Floor 42, Unit 466, Al Jafiliya, Dubai, UAE",626789,0,1,440,Studio,Al Jafiliya,Aqua Properties,2024-01-24,Sea View,"Central AC, Basketball Court, Spa, Swimming Pool",37443,عبد الخالق العليان,Patrick LLC,Under Contract,2024-12-19,2025-08-24 16:23:04
201,"Building 314, Floor 36, Unit 732, Al Safa, Dubai, UAE",2819676,5,2,5713,Serviced Apartment,Al Safa,Cluttons,2027-02-22,City View,"Driver's Room, Basketball Court, Furnished",35840,Paul Robinson,Thompson LLC,Under Contract,2025-04-23,2025-08-24 16:23:04
202,"Building 398, Floor 4, Unit 778, Al Hudaiba, Dubai, UAE",1933637,4,6,5463,Duplex,Al Hudaiba,Savills,2025-03-30,Garden View,"Driver's Room, BBQ Area, Basketball Court, Central AC, Tennis Court, Maid's Room",15594,أغاريد فصيل,آل عواض Inc,Rented,2024-10-09,2025-08-24 16:23:04
203,"Building 950, Floor 50, Unit 796, Al Nahda, Dubai, UAE",2141863,0,1,548,Studio,Al Nahda,Ellington Properties,2022-02-20,Street View,"Garden, BBQ Area, Pet Friendly",9971,Rebecca Navarro,Davis and Sons,Available,2024-09-24,2025-08-24 16:23:04
204,"Building 823, Floor 23, Unit 849, Al Hudaiba, Dubai, UAE",1631601,1,3,1224,Apartment,Al Hudaiba,Chestertons,2025-12-13,Street View,"Maid's Room, Parking, Children's Playground, Study Room",47343,ريتاج العليان,آل حسين Inc,Rented,2025-03-29,2025-08-24 16:23:04
205,"Building 281, Floor 37, Unit 406, Al Marmoom, Dubai, UAE",4497069,4,3,3999,Duplex,Al Marmoom,Omniyat,2021-10-12,Street View,"Maid's Room, Spa, Basketball Court, Furnished, Security",15346,Cynthia Simon,Brown-Thomas,Under Contract,2025-01-06,2025-08-24 16:23:04
206,"Building 166, Floor 12, Unit 489, Dubai Production City, Dubai, UAE",2831290,5,3,4205,Serviced Apartment,Dubai Production City,Savills,2024-02-28,Pool View,"Driver's Room, Study Room, Garden",38740,المهندسة زكية الجابر,"Lyons, Wood and Reynolds",Sold,2024-12-29,2025-08-24 16:23:04
207,"Building 749, Floor 46, Unit 468, Al Ghadeer, Dubai, UAE",2898686,5,4,5431,Loft,Al Ghadeer,Aqua Properties,2023-03-29,Street View,"Walk-in Closet, Driver's Room, Spa, Balcony, 24/7 Maintenance",28123,Kathleen Lawson,Rivera PLC,Rented,2025-03-15,2025-08-24 16:23:04
208,"Building 614, Floor 18, Unit 82, Al Mankhool, Dubai, UAE",14071508,7,5,4529,Penthouse,Al Mankhool,Chestertons,2027-06-05,Street View,"Garden, Study Room, Balcony, Walk-in Closet, Terrace",24789,المهندسة ريان آل صفوان,آل عايض-آل حسين,Available,2024-12-04,2025-08-24 16:23:04
209,"Building 835, Floor 1, Unit 1, Emirates Hills, Dubai, UAE",12073451,5,4,2936,Villa,Emirates Hills,Sobha Realty,2026-01-08,Street View,"Swimming Pool, BBQ Area, 24/7 Maintenance, Children's Playground, Furnished, Concierge",42901,الدكتور أحمد الحكير,Edwards-Santiago,Available,2025-03-04,2025-08-24 16:23:04
210,"Building 756, Floor 45, Unit 737, Al Barsha, Dubai, UAE",2385497,4,3,822,Apartment,Al Barsha,Sobha Realty,2025-01-31,Mountain View,"Built-in Wardrobes, Spa, Walk-in Closet, Driver's Room, Children's Playground, Gym, Pet Friendly",14967,مُنذر الخرافي,آل حسين-الراشد,Under Contract,2025-06-12,2025-08-24 16:23:04
211,"Building 49, Floor 3, Unit 527, Al Wasl, Dubai, UAE",417305,4,6,3519,Serviced Apartment,Al Wasl,Emaar Properties,2022-02-08,City View,"Modern Kitchen, Children's Playground, Security",38667,Michael Wilson,Morse-Chandler,Sold,2024-09-26,2025-08-24 16:23:04
212,"Building 451, Floor 27, Unit 787, Al Yalayis, Dubai, UAE",1973286,1,2,1663,Apartment,Al Yalayis,Select Group,2023-09-29,Pool View,"Driver's Room, Walk-in Closet, Maid's Room, Built-in Wardrobes, Tennis Court",37230,اصيل آل محمد بن علي بن جماز,Thomas-Chambers,Sold,2025-02-09,2025-08-24 16:23:04
213,"Building 44, Floor 1, Unit 1, Al Khawaneej, Dubai, UAE",12184235,5,2,4180,Villa,Al Khawaneej,Chestertons,2021-12-18,Street View,"Garden, Basketball Court, Security, Maid's Room, Children's Playground, Concierge, Walk-in Closet, Tennis Court",14060,Faith Harris,"آل عواض, بقشان and شربتلي",Available,2025-03-10,2025-08-24 16:23:04
214,"Building 259, Floor 45, Unit 357, Umm Suqeim, Dubai, UAE",8207731,7,3,7993,Duplex,Umm Suqeim,Union Properties,2023-05-09,City View,"24/7 Maintenance, Maid's Room, Parking",6543,Tammy Roy,Gonzalez-Bradford,Rented,2025-06-22,2025-08-24 16:23:04
215,"Building 222, Floor 9, Unit 400, Al Wasl, Dubai, UAE",1544969,3,4,2553,Loft,Al Wasl,Omniyat,2023-03-04,Garden View,"Built-in Wardrobes, Modern Kitchen, Maid's Room",5821,Steven Martinez,المهيدب-الشايع,Sold,2025-01-03,2025-08-24 16:23:04
216,"Building 427, Floor 36, Unit 111, Dubai Hills Estate, Dubai, UAE",1738472,7,4,2582,Loft,Dubai Hills Estate,Select Group,2022-06-04,Garden View,"Study Room, Gym, Spa, Walk-in Closet, Children's Playground",28726,Timothy Wilkinson,"حنبولي, آل صفوان and أبا الخيل",Available,2024-10-18,2025-08-24 16:23:04
217,"Building 828, Floor 33, Unit 425, Al Safa, Dubai, UAE",6125054,7,6,2425,Townhouse,Al Safa,Cluttons,2023-11-18,City View,"Furnished, Tennis Court, Spa, Built-in Wardrobes, Concierge, Balcony, Study Room, Driver's Room",16832,Maria Bradley,حنبولي-الجفالي,Under Contract,2025-04-03,2025-08-24 16:23:04
218,"Building 336, Floor 1, Unit 1, Al Safa, Dubai, UAE",12072383,5,3,3969,Villa,Al Safa,Knight Frank,2024-12-12,Mountain View,"Pet Friendly, Basketball Court, Parking",13276,جاد آل سلطان,آل سلطان Ltd,Under Contract,2025-01-17,2025-08-24 16:23:04
219,"Building 227, Floor 36, Unit 35, Al Manara, Dubai, UAE",1851108,7,5,7393,Townhouse,Al Manara,Damac Properties,2024-12-08,Garden View,"Basketball Court, Tennis Court, Furnished, Terrace, Concierge",31434,عبد الرّزاق آل رفيع,"المهنا, العليان and المهنا",Rented,2025-02-06,2025-08-24 16:23:04
220,"Building 575, Floor 50, Unit 675, Jumeirah Beach Residence, Dubai, UAE",2169890,3,4,3488,Loft,Jumeirah Beach Residence,Meraas,2026-01-14,Garden View,"Security, Terrace, Parking, Maid's Room, Built-in Wardrobes, Garden, 24/7 Maintenance",27794,Julie Ayers,"Todd, Hughes and Smith",Under Contract,2025-02-20,2025-08-24 16:23:04
221,"Building 5, Floor 31, Unit 592, Al Aweer, Dubai, UAE",5931238,7,2,4577,Townhouse,Al Aweer,Chestertons,2026-12-30,Street View,"Basketball Court, Garden, BBQ Area, Gym",40375,Mikayla Mills,Smith-White,Under Contract,2025-07-23,2025-08-24 16:23:04
222,"Building 233, Floor 10, Unit 363, Al Jafiliya, Dubai, UAE",1828943,5,4,5580,Triplex,Al Jafiliya,Ellington Properties,2026-09-11,Garden View,"Gym, BBQ Area, Driver's Room, Basketball Court",49941,الآنسة لينا آل قصير,"حنبولي, آل حسين and آل قصير",Sold,2024-09-14,2025-08-24 16:23:04
223,"Building 529, Floor 27, Unit 664, Al Ghadeer, Dubai, UAE",4683243,5,2,6051,Penthouse,Al Ghadeer,Savills,2021-04-09,Pool View,"Swimming Pool, Built-in Wardrobes, Central AC, Balcony",25236,Christine Russell,Hopkins-Johns,Under Contract,2025-01-06,2025-08-24 16:23:04
224,"Building 410, Floor 19, Unit 973, Jumeirah Islands, Dubai, UAE",661907,2,2,1590,Apartment,Jumeirah Islands,Aqua Properties,2022-09-20,City View,"BBQ Area, Furnished, Concierge, Terrace",27995,Michael Jefferson,Solomon Ltd,Under Contract,2025-08-06,2025-08-24 16:23:04
225,"Building 131, Floor 24, Unit 625, Al Manara, Dubai, UAE",3001261,6,2,5777,Garden Apartment,Al Manara,Meraas,2026-10-16,Mountain View,"Driver's Room, Study Room, Walk-in Closet, Pet Friendly, BBQ Area",13570,الآنسة ابتسام العجلان,Robertson-Wood,Sold,2025-07-11,2025-08-24 16:23:04
226,"Building 836, Floor 4, Unit 959, Umm Suqeim, Dubai, UAE",7935790,3,3,2441,Duplex,Umm Suqeim,Select Group,2021-01-13,Street View,"Swimming Pool, Garden, Gym, Basketball Court",37288,Jeremiah Bishop,Mccann Inc,Under Contract,2025-04-04,2025-08-24 16:23:04
227,"Building 295, Floor 43, Unit 766, Al Mankhool, Dubai, UAE",2401039,0,1,586,Studio,Al Mankhool,Chestertons,2027-03-17,Mountain View,"Children's Playground, Security, Maid's Room, BBQ Area, Tennis Court",31295,Dennis Mendoza,"الجابر, آل سعود and الراشد",Rented,2025-07-19,2025-08-24 16:23:04
228,"Building 743, Floor 25, Unit 974, Al Safa, Dubai, UAE",1317311,4,6,7643,Triplex,Al Safa,Select Group,2024-06-03,City View,"Balcony, Swimming Pool, Central AC",7154,Michael Contreras,Mason LLC,Available,2025-01-09,2025-08-24 16:23:04
229,"Building 254, Floor 42, Unit 970, Al Ruwayyah, Dubai, UAE",6022354,7,6,4034,Duplex,Al Ruwayyah,Al Habtoor Group,2023-07-21,Garden View,"Balcony, Pet Friendly, Furnished, 24/7 Maintenance, Terrace, Gym",34223,عبد التّواب الراشد,Johnson LLC,Rented,2025-07-17,2025-08-24 16:23:04
230,"Building 476, Floor 48, Unit 299, Downtown Dubai, Dubai, UAE",1735271,4,1,1826,Apartment,Downtown Dubai,Select Group,2025-04-16,Street View,"Garden, Built-in Wardrobes, Children's Playground",12560,ماذى آل معيض,Hodges-Morrison,Rented,2024-11-28,2025-08-24 16:23:04
231,"Building 406, Floor 9, Unit 699, Al Yalayis, Dubai, UAE",6500164,3,6,3653,Townhouse,Al Yalayis,Savills,2022-11-24,City View,"Security, Swimming Pool, Children's Playground, Modern Kitchen, Study Room, Walk-in Closet, Furnished",10643,المهندس شجاع آل الشيخ,العليان-حنبولي,Available,2025-06-12,2025-08-24 16:23:04
232,"Building 71, Floor 45, Unit 618, Al Aweer, Dubai, UAE",1069298,7,4,5363,Garden Apartment,Al Aweer,Sobha Realty,2022-09-02,Pool View,"Children's Playground, Central AC, Parking",9999,بيلسان بن لادن,آل محمد بن علي بن جماز-الحكير,Available,2025-05-28,2025-08-24 16:23:04
233,"Building 920, Floor 20, Unit 764, Al Hudaiba, Dubai, UAE",2109488,7,6,6585,Garden Apartment,Al Hudaiba,Savills,2022-05-08,Mountain View,"Tennis Court, Walk-in Closet, Concierge, BBQ Area, Built-in Wardrobes, 24/7 Maintenance",32888,Jennifer Torres,الراشد-الشايع,Under Contract,2025-01-18,2025-08-24 16:23:04
234,"Building 840, Floor 45, Unit 831, Al Khawaneej, Dubai, UAE",1293982,5,6,3315,Garden Apartment,Al Khawaneej,Cluttons,2026-03-02,City View,"Parking, Furnished, 24/7 Maintenance",43745,الأستاذة لورا آل حسين,Cuevas LLC,Under Contract,2025-07-31,2025-08-24 16:23:04
235,"Building 214, Floor 20, Unit 370, Al Barsha, Dubai, UAE",2281946,7,6,5432,Triplex,Al Barsha,Dubai Properties,2023-02-18,Sea View,"Security, Walk-in Closet, Swimming Pool, Tennis Court, Furnished, BBQ Area, Modern Kitchen, Study Room",46944,David Bird III,العقيل and Sons,Available,2025-03-16,2025-08-24 16:23:04
236,"Building 571, Floor 29, Unit 351, Al Mankhool, Dubai, UAE",7416313,4,2,5090,Townhouse,Al Mankhool,Chestertons,2022-05-03,City View,"Garden, Walk-in Closet, Security, Children's Playground",48080,Colin Simmons,كانو-مهنا,Under Contract,2025-04-20,2025-08-24 16:23:04
237,"Building 395, Floor 1, Unit 1, Al Raffa, Dubai, UAE",3855701,5,2,3802,Villa,Al Raffa,Emaar Properties,2024-01-30,Mountain View,"Maid's Room, Pet Friendly, Children's Playground, Driver's Room, Walk-in Closet, Study Room",45678,Alexandria Mcintyre,آل حسين Group,Sold,2025-07-23,2025-08-24 16:23:04
238,"Building 569, Floor 29, Unit 229, Al Jafiliya, Dubai, UAE",1273900,7,3,7042,Triplex,Al Jafiliya,Knight Frank,2022-06-25,Sea View,"Pet Friendly, 24/7 Maintenance, Tennis Court",11324,بتلاء العقيل,أبا الخيل Group,Sold,2024-10-20,2025-08-24 16:23:04
239,"Building 859, Floor 7, Unit 685, Al Safa, Dubai, UAE",2333858,3,3,893,Apartment,Al Safa,Emaar Properties,2021-05-02,Pool View,"Garden, Spa, Gym, Central AC, Walk-in Closet, Balcony",37978,عبد الشّكور آل خضير,المهنا-آل صفوان,Under Contract,2024-11-23,2025-08-24 16:23:04
240,"Building 973, Floor 7, Unit 662, Al Yalayis, Dubai, UAE",1386738,6,5,6321,Garden Apartment,Al Yalayis,Chestertons,2023-10-20,City View,"Children's Playground, Security, 24/7 Maintenance",43328,Christopher Smith,الراشد-فصيل,Rented,2024-08-30,2025-08-24 16:23:04
241,"Building 448, Floor 3, Unit 395, Al Ghadeer, Dubai, UAE",13139760,4,6,6031,Penthouse,Al Ghadeer,Union Properties,2022-04-07,Sea View,"Spa, Furnished, Parking, Pet Friendly, Garden, Terrace, Swimming Pool",30528,Jennifer Miller,"آل جعفر, الراشد and حنبولي",Sold,2025-07-27,2025-08-24 16:23:04
242,"Building 797, Floor 10, Unit 79, Jumeirah Park, Dubai, UAE",3368740,7,3,2635,Loft,Jumeirah Park,Emaar Properties,2027-04-25,Garden View,"Built-in Wardrobes, 24/7 Maintenance, Concierge, Parking, Security, Pet Friendly, Gym",40379,لاما المغاولة,"كانو, آل بن ظافر and آل مقطة",Sold,2024-12-16,2025-08-24 16:23:04
243,"Building 163, Floor 19, Unit 464, Al Mankhool, Dubai, UAE",1742335,5,3,6102,Triplex,Al Mankhool,Aqua Properties,2024-05-17,Street View,"Built-in Wardrobes, Terrace, Furnished, Maid's Room, Central AC, Study Room, Driver's Room",8497,Carla Martinez,"Kline, Ortiz and Maldonado",Sold,2025-06-07,2025-08-24 16:23:04
244,"Building 973, Floor 28, Unit 799, Al Faqa, Dubai, UAE",2317467,3,6,6760,Townhouse,Al Faqa,Dubai Properties,2021-08-18,Street View,"Concierge, Modern Kitchen, Tennis Court, Maid's Room, Study Room",35019,David Wright,الحجار-آل خضير,Rented,2024-08-24,2025-08-24 16:23:04
245,"Building 967, Floor 39, Unit 702, Al Mankhool, Dubai, UAE",2085286,7,3,6108,Loft,Al Mankhool,Omniyat,2024-01-23,Mountain View,"Security, 24/7 Maintenance, BBQ Area, Maid's Room, Driver's Room, Terrace, Spa, Modern Kitchen",49576,المهندس نزيه فصيل,"آل رفيع, آل بن ظافر and آل عطفة",Sold,2025-06-22,2025-08-24 16:23:04
246,"Building 457, Floor 46, Unit 6, Al Qusais Industrial, Dubai, UAE",1517204,6,2,5932,Garden Apartment,Al Qusais Industrial,Knight Frank,2021-02-27,Street View,"Swimming Pool, Basketball Court, Balcony, Children's Playground, Furnished, Central AC, Walk-in Closet",29600,Sara Rodriguez,"Hoffman, Aguilar and Garcia",Rented,2025-02-09,2025-08-24 16:23:04
247,"Building 520, Floor 20, Unit 440, Dubai Internet City, Dubai, UAE",3064313,4,6,5561,Serviced Apartment,Dubai Internet City,Select Group,2020-11-10,Mountain View,"Spa, Concierge, Pet Friendly, Tennis Court, Gym, Furnished, Terrace",46249,كمال الشايع,Thompson-Barnes,Sold,2024-10-13,2025-08-24 16:23:04
248,"Building 675, Floor 6, Unit 439, Arabian Ranches, Dubai, UAE",1234656,3,5,2186,Triplex,Arabian Ranches,Union Properties,2021-11-22,Garden View,"Terrace, Study Room, Concierge",40746,Edward Lopez,Thompson-Valdez,Available,2025-04-02,2025-08-24 16:23:04
249,"Building 130, Floor 35, Unit 738, Al Awir, Dubai, UAE",972144,4,1,1497,Apartment,Al Awir,Al Habtoor Group,2026-06-09,Street View,"Garden, Concierge, Basketball Court, Walk-in Closet, Swimming Pool, BBQ Area, Furnished",46616,Jennifer Lee,الخرافي-شربتلي,Under Contract,2024-08-28,2025-08-24 16:23:04
